Date,Month,Day_of_Year,Week_of_Year,Temperature,Humidity,Rainfall_mm,NDVI,Vector_Density,Livestock_Density,Hosp_Bed_Occupancy,Vax_Coverage,Med_Supply_Index,Sanitation_Index,Healthcare_Worker_Ratio,Transit_Usage,Travel_Index,Mass_Gathering,Search_Volume,Social_Sentiment,Clinic_Visit_Surge,Cases_Lag_7,Cases_Lag_14,Cases_Roll_Avg_7,Cases_Roll_Avg_14,Cases_Roll_Avg_30,Cases_Growth_Rate_7d,Cases_Growth_Rate_14d,Case_Count,Outbreak_Label,Risk_Level
2022-01-01,1,1,52,21.06,47.61,5.99,0.416,0.151,627.0,66.24,0.565,0.787,0.59,2.75,0.499,0.755,0,109,0.366,0.575,8,8,8.0,8.0,8.0,0.0,0.0,8,0,Low
2022-01-02,1,2,52,19.78,48.06,0.05,0.379,0.114,475.0,81.73,0.497,0.795,0.497,3.36,0.699,0.993,0,104,0.466,0.925,8,8,8.5,8.5,8.5,0.0,0.0,9,0,Low
2022-01-03,1,3,1,21.33,35.1,3.07,0.455,0.191,498.0,78.24,0.525,0.735,0.579,2.11,0.733,0.651,1,90,0.278,0.632,8,8,10.0,10.0,10.0,0.0,0.0,13,0,Medium
2022-01-04,1,4,1,23.07,52.09,10.94,0.452,0.062,617.0,55.46,0.535,0.644,0.65,2.55,0.45,0.515,0,103,0.228,0.911,8,8,9.25,9.25,9.25,0.0,0.0,7,0,Low
2022-01-05,1,5,1,19.55,48.18,2.12,0.448,0.123,476.0,61.66,0.508,0.771,0.589,3.29,0.561,0.583,0,105,0.319,1.328,8,8,8.8,8.8,8.8,0.0,0.0,7,0,Low
2022-01-06,1,6,1,19.54,51.59,8.26,0.341,0.192,541.0,70.85,0.536,0.701,0.585,3.37,0.655,0.698,0,98,0.416,0.676,8,8,8.83,8.83,8.83,0.0,0.0,9,0,Low
2022-01-07,1,7,1,23.16,27.74,0.0,0.462,0.111,570.0,56.16,0.509,0.497,0.602,2.35,0.56,0.658,0,116,0.36,0.937,8,8,8.71,8.71,8.71,0.0,0.0,8,0,Low
2022-01-08,1,8,1,21.54,57.16,2.03,0.375,0.077,484.0,92.91,0.556,0.751,0.605,3.3,0.617,0.549,0,91,0.472,1.215,8,8,9.29,9.12,9.12,0.5,0.0,12,0,Medium
2022-01-09,1,9,1,19.06,43.31,0.0,0.432,0.07,525.0,80.22,0.515,0.661,0.649,2.82,0.892,0.716,0,101,0.459,0.806,9,8,10.29,9.89,9.89,0.7778,0.0,16,1,High
2022-01-10,1,10,2,21.09,50.32,1.86,0.32,0.102,553.0,71.87,0.553,0.683,0.649,3.1,0.497,0.669,0,104,0.611,1.102,13,8,9.57,9.7,9.7,-0.3846,0.0,8,0,Low
2022-01-11,1,11,2,19.08,36.95,0.0,0.324,0.064,468.0,68.57,0.587,0.72,0.7,2.81,0.303,0.561,0,95,0.134,1.203,7,8,9.57,9.45,9.45,0.0,0.0,7,0,Low
2022-01-12,1,12,2,19.08,46.4,1.23,0.347,0.106,565.0,66.0,0.576,0.596,0.612,2.62,0.56,0.648,0,113,0.07,1.02,7,8,9.86,9.42,9.42,0.2857,0.0,9,0,Low
2022-01-13,1,13,2,20.51,35.93,5.13,0.335,0.205,456.0,52.36,0.55,0.731,0.484,3.38,0.601,0.943,0,96,0.338,1.025,9,8,10.57,9.77,9.77,0.5556,0.0,14,0,Medium
2022-01-14,1,14,2,16.21,38.04,0.0,0.384,0.07,446.0,54.67,0.523,0.695,0.66,2.29,0.577,0.651,0,94,0.207,0.726,8,8,10.71,9.71,9.71,0.125,0.0,9,0,Low
2022-01-15,1,15,2,16.6,52.81,3.71,0.303,0.099,378.0,91.01,0.558,0.65,0.694,3.26,0.69,0.857,0,94,0.507,0.9,12,8,11.43,10.36,10.2,0.4167,1.125,17,1,High
2022-01-16,1,16,2,18.94,39.72,2.71,0.367,0.143,460.0,87.74,0.533,0.724,0.772,3.32,0.496,0.806,0,92,0.158,1.041,16,9,11.43,10.86,10.56,0.0,0.7778,16,1,High
2022-01-17,1,17,3,18.05,41.72,4.1,0.34,0.116,435.0,66.24,0.56,0.585,0.702,3.05,0.474,0.714,0,103,0.251,0.525,8,13,12.29,10.93,10.76,0.75,0.0769,14,0,Medium
2022-01-18,1,18,3,20.73,45.18,5.48,0.286,0.065,468.0,81.08,0.502,0.726,0.566,2.47,0.549,0.62,0,121,0.29,0.438,7,7,12.86,11.21,10.78,0.5714,0.5714,11,0,Low
2022-01-19,1,19,3,18.31,42.49,0.0,0.324,0.097,549.0,77.06,0.578,0.758,0.613,2.6,0.552,0.685,0,106,0.668,0.962,9,7,13.43,11.64,10.89,0.4444,0.8571,13,1,Low
2022-01-20,1,20,3,17.32,39.98,5.57,0.261,0.123,362.0,78.24,0.555,0.744,0.581,1.99,0.968,0.796,0,78,0.729,1.095,14,9,13.71,12.14,11.15,0.1429,0.7778,16,1,Medium
2022-01-21,1,21,3,23.11,40.83,1.0,0.396,0.176,342.0,57.75,0.621,0.783,0.572,2.32,0.883,0.675,0,100,0.145,1.022,9,8,14.14,12.43,11.19,0.3333,0.5,12,0,Low
2022-01-22,1,22,3,19.76,52.63,0.88,0.14,0.063,440.0,53.92,0.594,0.813,0.592,2.75,0.4,0.607,0,79,0.0,0.595,17,12,12.86,12.14,11.05,-0.5294,-0.3333,8,0,Low
2022-01-23,1,23,3,20.37,37.44,0.0,0.301,0.151,537.0,83.83,0.572,0.713,0.69,1.93,0.361,0.558,0,106,0.247,1.276,16,16,11.86,11.64,10.96,-0.4375,-0.4375,9,0,Low
2022-01-24,1,24,4,17.42,38.57,0.25,0.173,0.101,523.0,52.21,0.552,0.808,0.489,2.38,0.637,0.94,1,81,0.343,1.026,14,8,12.57,12.43,11.29,0.3571,1.375,19,1,High
2022-01-25,1,25,4,19.22,43.26,0.0,0.244,0.045,439.0,70.52,0.534,0.713,0.53,3.28,0.937,0.72,1,98,0.343,1.243,11,7,14.86,13.86,11.92,1.4545,2.8571,27,1,High
2022-01-26,1,26,4,20.57,43.17,0.68,0.245,0.047,594.0,68.32,0.584,0.664,0.685,2.44,0.75,0.813,0,98,0.335,0.84,13,9,15.86,14.64,12.23,0.5385,1.2222,20,1,High
2022-01-27,1,27,4,18.09,43.26,0.85,0.318,0.208,447.0,67.4,0.549,0.689,0.702,2.91,0.645,0.745,0,96,0.497,1.066,16,14,16.29,15.0,12.48,0.1875,0.3571,19,1,High
2022-01-28,1,28,4,21.19,39.57,0.0,0.202,0.098,537.0,75.14,0.591,0.741,0.554,2.73,0.582,0.936,0,87,0.277,1.13,12,9,17.71,15.93,12.82,0.8333,1.4444,22,1,High
